Year,Country,CO2,Methane,NitrousOxide
1990,Australia,278424.6604,124383.1794,15938.28507
1990,Austria,62124.70071,10391.46011,4320.618353
1990,Belarus,103689.711,17458.52491,16618.17154
1990,Belgium,120309.3428,12215.1851,10072.88148
1990,Bulgaria,76698.97508,15936.76897,9154.901494
1990,Canada,462117.3511,90484.94758,38864.87949
1990,Croatia,23329.24943,4382.440862,2913.469732
1990,Cyprus,4656.893579,661.4322437,292.4899038
1990,Czechia,164204.2057,23527.88976,9386.212652
1990,Denmark,54845.67448,7941.910315,8170.027594
1990,Estonia,36907.23754,1901.294089,1468.776969
1990,European Union,4466227.834,728946.9027,380749.4405
1990,Finland,56971.87427,7684.616735,6356.061365
1990,France,403307.2362,69877.29783,66380.58762
1990,Germany,1052348.544,121192.5054,62522.84457
1990,Greece,83425.54815,11042.24356,7465.108717
1990,Hungary,73464.85382,11721.79571,8376.094385
1990,Iceland,2247.802921,610.5889527,378.3967007
1990,Ireland,32944.32778,14760.68967,7728.687636
1990,Italy,438008.8022,48247.48902,26036.24471
1990,Japan,1158391.311,44418.4873,31875.87917
1990,Latvia,19504.13092,3594.96792,3189.474209
1990,Liechtenstein,198.9679256,19.24721865,10.17256566
1990,Lithuania,35771.81571,7006.001828,5238.613681
1990,Luxembourg,11847.63544,581.6467324,310.4985793
1990,Malta,2408.463325,105.2876886,56.61241371
1990,Monaco,98.22770539,2.199070709,2.229837463
1990,Netherlands,162385.1094,31847.2144,18032.65962
1990,New Zealand,25446.28786,32287.60373,4927.112795
1990,Norway,35321.32608,6032.025874,4112.289171
1990,Poland,376546.518,69796.96165,28594.96662
1990,Portugal,45082.97185,9590.332464,3885.302439
1990,Romania,169285.8727,60017.60053,15881.74333
1990,Russian Federation,2525293.782,463735.6611,146044.1422
1990,Slovakia,61633.4626,7255.124047,4313.61871
1990,Slovenia,15093.83837,2543.980357,754.3544869
1990,Spain,231213.5561,35609.22238,18292.26533
1990,Sweden,57348.82489,7418.84984,5740.25607
1990,Switzerland,44154.42095,6044.116665,3326.81321
1990,Turkey,151508.4676,42405.06049,24828.98666
1990,Ukraine,705829.9918,182572.6811,53433.96074
1990,United Kingdom,601187.1868,133060.4319,46210.68165
1990,United States of America,5128300.617,774409.534,434624.2674
1991,Australia,279872.6603,124308.8691,15558.9119
1991,Austria,65725.53311,10266.59273,4354.366075
1991,Belarus,96647.12528,16387.25889,16151.48289
1991,Belgium,123382.0823,12178.67122,9940.160112
1991,Bulgaria,61232.59673,14946.89968,7166.472852
1991,Canada,452494.7231,92223.15634,37379.77358
1991,Croatia,17182.30206,4234.888546,2756.146612
1991,Cyprus,5146.608555,673.091968,293.7954132
1991,Czechia,148894.1274,21959.70669,8048.608589
1991,Denmark,65428.34553,8126.700764,8014.562399
1991,Estonia,33901.77483,1822.659346,1431.640672
1991,European Union,4413593.528,707433.0564,362510.3818
1991,Finland,55230.40408,7666.524321,5916.809023
1991,France,428927.1067,70584.19183,66928.90738
1991,Germany,1014199.715,115019.1769,60357.53314
1991,Greece,83401.12067,11040.95201,7327.432416
1991,Hungary,69784.5192,11452.91498,5696.795802
1991,Iceland,2128.40966,607.9519002,367.8564536
1991,Ireland,33674.00925,14940.4459,7482.964923
1991,Italy,437538.5965,49126.5475,27051.85185
1991,Japan,1170065.729,43259.72311,31580.53736
1991,Latvia,17783.12026,3549.433852,3076.297092
1991,Liechtenstein,206.3264705,19.17352113,10.38623582
1991,Lithuania,37851.58852,6795.420909,5367.685897
1991,Luxembourg,12465.7878,594.1301628,321.491654
1991,Malta,2255.3887,111.8931319,56.98754938
1991,Monaco,98.90814357,2.039692858,2.52744438
1991,Netherlands,170796.3825,32252.80076,18204.99757
1991,New Zealand,26110.38403,32412.23811,5006.247944
1991,Norway,33816.45726,5977.405927,3955.596431
1991,Poland,373793.3205,64910.21753,24281.85388
1991,Portugal,46960.25731,9712.391471,3846.462769
1991,Romania,139370.2532,51333.43836,11191.15204
1991,Russian Federation,2395977.96,441113.482,136089.3617
1991,Slovakia,53437.90155,6957.445207,3391.557946
1991,Slovenia,14001.23868,2448.476123,700.9006751
1991,Spain,240953.0208,34473.56589,17651.72627
1991,Sweden,57707.22304,7415.060909,5618.135388
1991,Switzerland,46133.82104,5973.042561,3312.404577
1991,Turkey,157982.0046,43285.36366,24625.3608
1991,Ukraine,632536.6261,174694.1848,48270.17738
1991,United Kingdom,609266.002,133811.5807,46429.75794
1991,United States of America,5078889.576,778860.5425,424828.2863
1992,Australia,284912.4379,123741.4076,15367.95622
1992,Austria,60204.06853,9981.6525,4165.895208
1992,Belarus,88662.01295,15115.86562,14444.03844
1992,Belgium,122507.8422,12099.24186,9664.39584
1992,Bulgaria,57010.43204,14661.37415,6051.116493
1992,Canada,467037.4201,96534.41389,37932.79565
1992,Croatia,16506.077,3776.106658,2745.002477
1992,Cyprus,5522.905619,691.2208493,324.3275741
1992,Czechia,144619.022,20623.3195,7206.17716
1992,Denmark,59595.58858,8196.321346,7761.474165
1992,Estonia,24370.46197,1581.387307,1188.448351
1992,European Union,4271808.703,692025.167,348296.824
1992,Finland,54285.52648,7617.081575,5487.999377
1992,France,418231.0239,70409.64913,66582.50856
1992,Germany,965889.8128,111435.3808,61607.75552
1992,Greece,84982.71063,11116.91583,7169.492593
